,Username,Repo_name,Stars,Repo_url
0,mrdoob,three.js,76k,https://github.com//mrdoob/three.js
1,libgdx,libgdx,19.3k,https://github.com//libgdx/libgdx
2,pmndrs,react-three-fiber,15.7k,https://github.com//pmndrs/react-three-fiber
3,BabylonJS,Babylon.js,15.3k,https://github.com//BabylonJS/Babylon.js
4,aframevr,aframe,13.3k,https://github.com//aframevr/aframe
5,ssloy,tinyrenderer,11.6k,https://github.com//ssloy/tinyrenderer
6,lettier,3d-game-shaders-for-beginners,11.5k,https://github.com//lettier/3d-game-shaders-for-beginners
7,FreeCAD,FreeCAD,10.2k,https://github.com//FreeCAD/FreeCAD
8,metafizzy,zdog,8.8k,https://github.com//metafizzy/zdog
9,CesiumGS,cesium,8k,https://github.com//CesiumGS/cesium
10,timzhang642,3D-Machine-Learning,7.3k,https://github.com//timzhang642/3D-Machine-Learning
11,a1studmuffin,SpaceshipGenerator,7k,https://github.com//a1studmuffin/SpaceshipGenerator
12,isl-org,Open3D,5.7k,https://github.com//isl-org/Open3D
13,spritejs,spritejs,4.7k,https://github.com//spritejs/spritejs
14,domlysz,BlenderGIS,4.5k,https://github.com//domlysz/BlenderGIS
15,tensorspace-team,tensorspace,4.5k,https://github.com//tensorspace-team/tensorspace
16,jagenjo,webglstudio.js,4.5k,https://github.com//jagenjo/webglstudio.js
17,YadiraF,PRNet,4.5k,https://github.com//YadiraF/PRNet
18,openscad,openscad,4.4k,https://github.com//openscad/openscad
19,AaronJackson,vrn,4.4k,https://github.com//AaronJackson/vrn
20,ssloy,tinyraytracer,3.9k,https://github.com//ssloy/tinyraytracer
21,blender,blender,3.8k,https://github.com//blender/blender
22,mosra,magnum,3.7k,https://github.com//mosra/magnum
23,google,model-viewer,3.6k,https://github.com//google/model-viewer
24,gfxfundamentals,webgl-fundamentals,3.3k,https://github.com//gfxfundamentals/webgl-fundamentals
25,cleardusk,3DDFA,3.1k,https://github.com//cleardusk/3DDFA
26,jasonlong,isometric-contributions,3.1k,https://github.com//jasonlong/isometric-contributions
27,rg3dengine,rg3d,2.9k,https://github.com//rg3dengine/rg3d
28,cnr-isti-vclab,meshlab,2.6k,https://github.com//cnr-isti-vclab/meshlab
29,antvis,L7,2.5k,https://github.com//antvis/L7
