,Username,Repo_name,Stars,Repo_url
0,metafizzy,infinite-scroll,7k,https://github.com//metafizzy/infinite-scroll
1,ljianshu,Blog,6.8k,https://github.com//ljianshu/Blog
2,developit,unfetch,5.2k,https://github.com//developit/unfetch
3,jquery-form,form,5.1k,https://github.com//jquery-form/form
4,olifolkerd,tabulator,4.3k,https://github.com//olifolkerd/tabulator
5,Studio-42,elFinder,4.2k,https://github.com//Studio-42/elFinder
6,ded,reqwest,2.9k,https://github.com//ded/reqwest
7,dwyl,learn-to-send-email-via-google-script-html-no-server,2.7k,https://github.com//dwyl/learn-to-send-email-via-google-script-html-no-server
8,LeaVerou,bliss,2.3k,https://github.com//LeaVerou/bliss
9,elbywan,wretch,2.3k,https://github.com//elbywan/wretch
10,noelboss,featherlight,2k,https://github.com//noelboss/featherlight
11,wendux,Ajax-hook,1.9k,https://github.com//wendux/Ajax-hook
12,craftpip,jquery-confirm,1.8k,https://github.com//craftpip/jquery-confirm
13,yisainan,web-interview,1.8k,https://github.com//yisainan/web-interview
14,ptaoussanis,sente,1.6k,https://github.com//ptaoussanis/sente
15,joaomilho,Enterprise,1.5k,https://github.com//joaomilho/Enterprise
16,nette,tracy,1.5k,https://github.com//nette/tracy
17,u014427391,jeeplatform,1.3k,https://github.com//u014427391/jeeplatform
18,MoOx,pjax,1.2k,https://github.com//MoOx/pjax
19,loadingio,css-spinner,1.2k,https://github.com//loadingio/css-spinner
20,codingforentrepreneurs,eCommerce,1.2k,https://github.com//codingforentrepreneurs/eCommerce
21,danielm,uploader,1.1k,https://github.com//danielm/uploader
22,renderedtext,render_async,1k,https://github.com//renderedtext/render_async
23,swlib,saber,935,https://github.com//swlib/saber
24,webcreate,infinite-ajax-scroll,836,https://github.com//webcreate/infinite-ajax-scroll
25,proyecto26,RestClient,817,https://github.com//proyecto26/RestClient
26,opensource-socialnetwork,opensource-socialnetwork,814,https://github.com//opensource-socialnetwork/opensource-socialnetwork
27,rapidjs,rapid.js,707,https://github.com//rapidjs/rapid.js
28,k8w,tsrpc,628,https://github.com//k8w/tsrpc
29,csxiaoyaojianxian,JavaScriptStudy,587,https://github.com//csxiaoyaojianxian/JavaScriptStudy
