,Username,Repo_name,Stars,Repo_url
0,amphp,amp,3.4k,https://github.com//amphp/amp
1,danog,MadelineProto,1.7k,https://github.com//danog/MadelineProto
2,amphp,http-server,1.1k,https://github.com//amphp/http-server
3,unreal4u,telegram-api,679,https://github.com//unreal4u/telegram-api
4,amphp,http-client,586,https://github.com//amphp/http-client
5,amphp,parallel,525,https://github.com//amphp/parallel
6,php-service-bus,service-bus,306,https://github.com//php-service-bus/service-bus
7,amphp,mysql,253,https://github.com//amphp/mysql
8,amphp,byte-stream,251,https://github.com//amphp/byte-stream
9,amphp,parallel-functions,199,https://github.com//amphp/parallel-functions
10,amphp,process,144,https://github.com//amphp/process
11,amphp,socket,137,https://github.com//amphp/socket
12,amphp,redis,118,https://github.com//amphp/redis
13,kelunik,acme,105,https://github.com//kelunik/acme
14,amphp,dns,96,https://github.com//amphp/dns
15,amphp,websocket-client,93,https://github.com//amphp/websocket-client
16,PeeHaa,mailgrab,91,https://github.com//PeeHaa/mailgrab
17,amphp,sync,86,https://github.com//amphp/sync
18,jolicode,asynit,68,https://github.com//jolicode/asynit
19,amphp,websocket-server,65,https://github.com//amphp/websocket-server
20,amphp,cache,58,https://github.com//amphp/cache
21,amphp,file,58,https://github.com//amphp/file
22,amphp,postgres,58,https://github.com//amphp/postgres
23,amphp,serialization,55,https://github.com//amphp/serialization
24,amphp,beanstalk,55,https://github.com//amphp/beanstalk
25,amphp,windows-registry,54,https://github.com//amphp/windows-registry
26,amphp,hpack,52,https://github.com//amphp/hpack
27,phpinnacle,ridge,43,https://github.com//phpinnacle/ridge
28,amphp,aerys,42,https://github.com//amphp/aerys
29,Room-11,Jeeves,41,https://github.com//Room-11/Jeeves
