,Username,Repo_name,Stars,Repo_url
0,flutter,flutter,132k,https://github.com//flutter/flutter
1,justjavac,free-programming-books-zh_CN,84.3k,https://github.com//justjavac/free-programming-books-zh_CN
2,Genymobile,scrcpy,57.6k,https://github.com//Genymobile/scrcpy
3,Hack-with-Github,Awesome-Hacking,47.7k,https://github.com//Hack-with-Github/Awesome-Hacking
4,google,material-design-icons,44.3k,https://github.com//google/material-design-icons
5,wasabeef,awesome-android-ui,41.7k,https://github.com//wasabeef/awesome-android-ui
6,square,okhttp,41.1k,https://github.com//square/okhttp
7,android,architecture-samples,39.8k,https://github.com//android/architecture-samples
8,square,retrofit,39k,https://github.com//square/retrofit
9,Solido,awesome-flutter,38.2k,https://github.com//Solido/awesome-flutter
10,PhilJay,MPAndroidChart,34.2k,https://github.com//PhilJay/MPAndroidChart
11,fastlane,fastlane,33.3k,https://github.com//fastlane/fastlane
12,shadowsocks,shadowsocks-android,32.1k,https://github.com//shadowsocks/shadowsocks-android
13,airbnb,lottie-android,32.1k,https://github.com//airbnb/lottie-android
14,bumptech,glide,31.9k,https://github.com//bumptech/glide
15,Trinea,android-open-project,30.8k,https://github.com//Trinea/android-open-project
16,Blankj,AndroidUtilCode,30.1k,https://github.com//Blankj/AndroidUtilCode
17,xitu,gold-miner,29.8k,https://github.com//xitu/gold-miner
18,bilibili,ijkplayer,29.6k,https://github.com//bilibili/ijkplayer
19,zxing,zxing,28.7k,https://github.com//zxing/zxing
20,skylot,jadx,27.7k,https://github.com//skylot/jadx
21,codepath,android_guides,27.6k,https://github.com//codepath/android_guides
22,square,leakcanary,26.9k,https://github.com//square/leakcanary
23,laurent22,joplin,26.4k,https://github.com//laurent22/joplin
24,alibaba,fastjson,23.9k,https://github.com//alibaba/fastjson
25,scwang90,SmartRefreshLayout,23.1k,https://github.com//scwang90/SmartRefreshLayout
26,CymChad,BaseRecyclerViewAdapterHelper,22.5k,https://github.com//CymChad/BaseRecyclerViewAdapterHelper
27,react-native-elements,react-native-elements,21.6k,https://github.com//react-native-elements/react-native-elements
28,google,iosched,20.9k,https://github.com//google/iosched
29,NativeScript,NativeScript,20.7k,https://github.com//NativeScript/NativeScript
