,Username,Repo_name,Stars,Repo_url
0,justjavac,free-programming-books-zh_CN,84.3k,https://github.com//justjavac/free-programming-books-zh_CN
1,angular,angular,77.7k,https://github.com//angular/angular
2,storybookjs,storybook,66.3k,https://github.com//storybookjs/storybook
3,ionic-team,ionic-framework,45.6k,https://github.com//ionic-team/ionic-framework
4,leonardomso,33-js-concepts,45.2k,https://github.com//leonardomso/33-js-concepts
5,prettier,prettier,41k,https://github.com//prettier/prettier
6,SheetJS,sheetjs,28.1k,https://github.com//SheetJS/sheetjs
7,angular,angular-cli,25k,https://github.com//angular/angular-cli
8,angular,components,22.3k,https://github.com//angular/components
9,NativeScript,NativeScript,20.7k,https://github.com//NativeScript/NativeScript
10,Eugeny,tabby,20k,https://github.com//Eugeny/tabby
11,jhipster,generator-jhipster,19.1k,https://github.com//jhipster/generator-jhipster
12,pubkey,rxdb,16.5k,https://github.com//pubkey/rxdb
13,handsontable,handsontable,16k,https://github.com//handsontable/handsontable
14,teambit,bit,14.3k,https://github.com//teambit/bit
15,sweetalert2,sweetalert2,13.8k,https://github.com//sweetalert2/sweetalert2
16,goldbergyoni,javascript-testing-best-practices,13.8k,https://github.com//goldbergyoni/javascript-testing-best-practices
17,linnovate,mean,12.1k,https://github.com//linnovate/mean
18,codesandbox,codesandbox-client,11k,https://github.com//codesandbox/codesandbox-client
19,coreui,coreui-free-bootstrap-admin-template,11k,https://github.com//coreui/coreui-free-bootstrap-admin-template
20,PatrickJS,angular-starter,10.4k,https://github.com//PatrickJS/angular-starter
21,Chocobozzz,PeerTube,9.9k,https://github.com//Chocobozzz/PeerTube
22,nrwl,nx,9.3k,https://github.com//nrwl/nx
23,angular,protractor,8.8k,https://github.com//angular/protractor
24,OnsenUI,OnsenUI,8.5k,https://github.com//OnsenUI/OnsenUI
25,PatrickJS,awesome-angular,8.1k,https://github.com//PatrickJS/awesome-angular
26,text-mask,text-mask,8.1k,https://github.com//text-mask/text-mask
27,ng-bootstrap,ng-bootstrap,7.9k,https://github.com//ng-bootstrap/ng-bootstrap
28,dotansimha,graphql-code-generator,7.9k,https://github.com//dotansimha/graphql-code-generator
29,NG-ZORRO,ng-zorro-antd,7.8k,https://github.com//NG-ZORRO/ng-zorro-antd
