,Username,Repo_name,Stars,Repo_url
0,ansible,ansible,50.8k,https://github.com//ansible/ansible
1,trailofbits,algo,24.1k,https://github.com//trailofbits/algo
2,StreisandEffect,streisand,22.6k,https://github.com//StreisandEffect/streisand
3,bregman-arie,devops-exercises,19.3k,https://github.com//bregman-arie/devops-exercises
4,kubernetes-sigs,kubespray,11.5k,https://github.com//kubernetes-sigs/kubespray
5,ansible,awx,10.4k,https://github.com//ansible/awx
6,easzlab,kubeasz,7.5k,https://github.com//easzlab/kubeasz
7,geerlingguy,ansible-for-devops,5.2k,https://github.com//geerlingguy/ansible-for-devops
8,ansible-semaphore,semaphore,4.5k,https://github.com//ansible-semaphore/semaphore
9,rundeck,rundeck,4.4k,https://github.com//rundeck/rundeck
10,geerlingguy,mac-dev-playbook,4.1k,https://github.com//geerlingguy/mac-dev-playbook
11,KubeOperator,KubeOperator,4.1k,https://github.com//KubeOperator/KubeOperator
12,Tikam02,DevOps-Guide,4.1k,https://github.com//Tikam02/DevOps-Guide
13,ansible-community,molecule,3.2k,https://github.com//ansible-community/molecule
14,clong,DetectionLab,3.2k,https://github.com//clong/DetectionLab
15,opendevops-cn,opendevops,3k,https://github.com//opendevops-cn/opendevops
16,welliamcao,OpsManage,2.8k,https://github.com//welliamcao/OpsManage
17,werf,werf,2.8k,https://github.com//werf/werf
18,netbootxyz,netboot.xyz,2.7k,https://github.com//netbootxyz/netboot.xyz
19,ansible-community,ansible-lint,2.6k,https://github.com//ansible-community/ansible-lint
20,dev-sec,ansible-collection-hardening,2.5k,https://github.com//dev-sec/ansible-collection-hardening
21,alixaxel,chrome-aws-lambda,2.5k,https://github.com//alixaxel/chrome-aws-lambda
22,litmuschaos,litmus,2.3k,https://github.com//litmuschaos/litmus
23,roots,trellis,2.3k,https://github.com//roots/trellis
24,ansistrano,deploy,2.1k,https://github.com//ansistrano/deploy
25,openshift,openshift-ansible,2k,https://github.com//openshift/openshift-ansible
26,fboender,ansible-cmdb,2k,https://github.com//fboender/ansible-cmdb
27,pytest-dev,pytest-testinfra,2k,https://github.com//pytest-dev/pytest-testinfra
28,leucos,ansible-tuto,1.9k,https://github.com//leucos/ansible-tuto
29,Artemmkin,infrastructure-as-code-tutorial,1.9k,https://github.com//Artemmkin/infrastructure-as-code-tutorial
