,Username,Repo_name,Stars,Repo_url
0,public-apis,public-apis,168k,https://github.com//public-apis/public-apis
1,httpie,httpie,52.8k,https://github.com//httpie/httpie
2,neovim,neovim,48.7k,https://github.com//neovim/neovim
3,strapi,strapi,40.9k,https://github.com//strapi/strapi
4,tiangolo,fastapi,38.4k,https://github.com//tiangolo/fastapi
5,slatedocs,slate,33.3k,https://github.com//slatedocs/slate
6,hoppscotch,hoppscotch,33.2k,https://github.com//hoppscotch/hoppscotch
7,hasura,graphql-engine,24.5k,https://github.com//hasura/graphql-engine
8,YMFE,yapi,23k,https://github.com//YMFE/yapi
9,encode,django-rest-framework,22.2k,https://github.com//encode/django-rest-framework
10,ccxt,ccxt,22k,https://github.com//ccxt/ccxt
11,Binaryify,NeteaseCloudMusicApi,22k,https://github.com//Binaryify/NeteaseCloudMusicApi
12,littlecodersh,ItChat,21.8k,https://github.com//littlecodersh/ItChat
13,paularmstrong,normalizr,20.7k,https://github.com//paularmstrong/normalizr
14,FallibleInc,security-guide-for-developers,20k,https://github.com//FallibleInc/security-guide-for-developers
15,Kong,insomnia,18.6k,https://github.com//Kong/insomnia
16,microsoft,api-guidelines,17.8k,https://github.com//microsoft/api-guidelines
17,pubkey,rxdb,16.5k,https://github.com//pubkey/rxdb
18,shieldfy,API-Security-Checklist,16.2k,https://github.com//shieldfy/API-Security-Checklist
19,learn-anything,learn-anything,13.5k,https://github.com//learn-anything/learn-anything
20,youfou,wxpy,13k,https://github.com//youfou/wxpy
21,directus,directus,12.8k,https://github.com//directus/directus
22,jsdoc,jsdoc,12.5k,https://github.com//jsdoc/jsdoc
23,BrainJS,brain.js,12.3k,https://github.com//BrainJS/brain.js
24,ChainSafe,web3.js,12.1k,https://github.com//ChainSafe/web3.js
25,graphile,postgraphile,10.8k,https://github.com//graphile/postgraphile
26,micro,micro,10.7k,https://github.com//micro/micro
27,go-chi,chi,10.4k,https://github.com//go-chi/chi
28,OpenAPITools,openapi-generator,10.4k,https://github.com//OpenAPITools/openapi-generator
29,postmanlabs,httpbin,10.3k,https://github.com//postmanlabs/httpbin
