,Username,Repo_name,Stars,Repo_url
0,aspnetboilerplate,aspnetboilerplate,10k,https://github.com//aspnetboilerplate/aspnetboilerplate
1,dotnet,AspNetCore.Docs,9.9k,https://github.com//dotnet/AspNetCore.Docs
2,bitwarden,server,8.6k,https://github.com//bitwarden/server
3,nopSolutions,nopCommerce,6.7k,https://github.com//nopSolutions/nopCommerce
4,ElectronNET,Electron.NET,6k,https://github.com//ElectronNET/Electron.NET
5,RicoSuter,NSwag,4.8k,https://github.com//RicoSuter/NSwag
6,thangchung,clean-code-dotnet,4.3k,https://github.com//thangchung/clean-code-dotnet
7,JimBobSquarePants,ImageProcessor,2.5k,https://github.com//JimBobSquarePants/ImageProcessor
8,smartstore,SmartStoreNET,2.3k,https://github.com//smartstore/SmartStoreNET
9,dotnet,aspnet-api-versioning,2.1k,https://github.com//dotnet/aspnet-api-versioning
10,loic-sharma,BaGet,1.8k,https://github.com//loic-sharma/BaGet
11,mjebrahimi,Awesome-Microservices-NetCore,1.5k,https://github.com//mjebrahimi/Awesome-Microservices-NetCore
12,TrilonIO,aspnetcore-angular-universal,1.5k,https://github.com//TrilonIO/aspnetcore-angular-universal
13,TrilonIO,aspnetcore-Vue-starter,1.2k,https://github.com//TrilonIO/aspnetcore-Vue-starter
14,lampo1024,DncZeus,1.2k,https://github.com//lampo1024/DncZeus
15,MarimerLLC,csla,959,https://github.com//MarimerLLC/csla
16,riganti,dotvvm,573,https://github.com//riganti/dotvvm
17,cornflourblue,aspnet-core-3-jwt-authentication-api,566,https://github.com//cornflourblue/aspnet-core-3-jwt-authentication-api
18,antonioCoco,SharPyShell,491,https://github.com//antonioCoco/SharPyShell
19,chsakell,mvcarchitecture,446,https://github.com//chsakell/mvcarchitecture
20,brthor,Gofer.NET,420,https://github.com//brthor/Gofer.NET
21,YAFNET,YAFNET,413,https://github.com//YAFNET/YAFNET
22,Maarten88,rrod,377,https://github.com//Maarten88/rrod
23,SapphireDb,SapphireDb,359,https://github.com//SapphireDb/SapphireDb
24,IvanJosipovic,BlazorTable,354,https://github.com//IvanJosipovic/BlazorTable
25,Taritsyn,WebMarkupMin,339,https://github.com//Taritsyn/WebMarkupMin
26,chsakell,aspnet-core-identity,306,https://github.com//chsakell/aspnet-core-identity
27,EEParker,aspnetcore-vueclimiddleware,305,https://github.com//EEParker/aspnetcore-vueclimiddleware
28,ALMMa,datatables.aspnet,284,https://github.com//ALMMa/datatables.aspnet
29,cornflourblue,aspnet-core-jwt-authentication-api,276,https://github.com//cornflourblue/aspnet-core-jwt-authentication-api
