,Username,Repo_name,Stars,Repo_url
0,serverless,serverless,41.4k,https://github.com//serverless/serverless
1,localstack,localstack,37k,https://github.com//localstack/localstack
2,donnemartin,data-science-ipython-notebooks,21.8k,https://github.com//donnemartin/data-science-ipython-notebooks
3,bregman-arie,devops-exercises,19.3k,https://github.com//bregman-arie/devops-exercises
4,ramitsurana,awesome-kubernetes,12.2k,https://github.com//ramitsurana/awesome-kubernetes
5,aws,aws-cli,11.7k,https://github.com//aws/aws-cli
6,kubernetes-sigs,kubespray,11.5k,https://github.com//kubernetes-sigs/kubespray
7,pulumi,pulumi,10.6k,https://github.com//pulumi/pulumi
8,donnemartin,awesome-aws,9.8k,https://github.com//donnemartin/awesome-aws
9,apereo,cas,9.1k,https://github.com//apereo/cas
10,mozilla,sops,8.6k,https://github.com//mozilla/sops
11,aws-amplify,amplify-js,8.5k,https://github.com//aws-amplify/amplify-js
12,aws,chalice,8.5k,https://github.com//aws/chalice
13,apex,up,8.4k,https://github.com//apex/up
14,aws,serverless-application-model,8.3k,https://github.com//aws/serverless-application-model
15,google,go-cloud,8.1k,https://github.com//google/go-cloud
16,caprover,caprover,7.9k,https://github.com//caprover/caprover
17,aws,aws-cdk,7.8k,https://github.com//aws/aws-cdk
18,aws,aws-sdk-go,7.2k,https://github.com//aws/aws-sdk-go
19,angristan,openvpn-install,7k,https://github.com//angristan/openvpn-install
20,boto,boto3,6.8k,https://github.com//boto/boto3
21,aws,aws-sdk-js,6.8k,https://github.com//aws/aws-sdk-js
22,hashicorp,terraform-provider-aws,6.5k,https://github.com//hashicorp/terraform-provider-aws
23,awslabs,aws-shell,6.3k,https://github.com//awslabs/aws-shell
24,aws,amazon-sagemaker-examples,6.3k,https://github.com//aws/amazon-sagemaker-examples
25,GoogleCloudPlatform,terraformer,6.2k,https://github.com//GoogleCloudPlatform/terraformer
26,aws,aws-sam-cli,5.8k,https://github.com//aws/aws-sam-cli
27,gruntwork-io,terratest,5.7k,https://github.com//gruntwork-io/terratest
28,donnemartin,dev-setup,5.6k,https://github.com//donnemartin/dev-setup
29,99designs,aws-vault,5.5k,https://github.com//99designs/aws-vault
