,Username,Repo_name,Stars,Repo_url
0,bregman-arie,devops-exercises,19.3k,https://github.com//bregman-arie/devops-exercises
1,ramitsurana,awesome-kubernetes,12.2k,https://github.com//ramitsurana/awesome-kubernetes
2,microsoft,recommenders,11.6k,https://github.com//microsoft/recommenders
3,Azure,azure-quickstart-templates,11k,https://github.com//Azure/azure-quickstart-templates
4,pulumi,pulumi,10.6k,https://github.com//pulumi/pulumi
5,mozilla,sops,8.6k,https://github.com//mozilla/sops
6,microsoft,computervision-recipes,8.2k,https://github.com//microsoft/computervision-recipes
7,google,go-cloud,8.1k,https://github.com//google/go-cloud
8,caprover,caprover,7.9k,https://github.com//caprover/caprover
9,microsoft,azuredatastudio,6.6k,https://github.com//microsoft/azuredatastudio
10,node-formidable,formidable,6.1k,https://github.com//node-formidable/formidable
11,midwayjs,midway,5k,https://github.com//midwayjs/midway
12,infracost,infracost,4.4k,https://github.com//infracost/infracost
13,thangchung,clean-code-dotnet,4.3k,https://github.com//thangchung/clean-code-dotnet
14,budtmo,docker-android,4k,https://github.com//budtmo/docker-android
15,cloud-custodian,cloud-custodian,3.9k,https://github.com//cloud-custodian/cloud-custodian
16,nccgroup,ScoutSuite,3.7k,https://github.com//nccgroup/ScoutSuite
17,aquasecurity,tfsec,3.5k,https://github.com//aquasecurity/tfsec
18,simov,grant,3.5k,https://github.com//simov/grant
19,bridgecrewio,checkov,3.5k,https://github.com//bridgecrewio/checkov
20,Qovery,engine,3.4k,https://github.com//Qovery/engine
21,Azure,azure-sdk-for-net,3k,https://github.com//Azure/azure-sdk-for-net
22,hashicorp,terraform-provider-azurerm,3k,https://github.com//hashicorp/terraform-provider-azurerm
23,Azure,azure-cli,2.8k,https://github.com//Azure/azure-cli
24,Azure,azure-powershell,2.8k,https://github.com//Azure/azure-powershell
25,Azure,MachineLearningNotebooks,2.8k,https://github.com//Azure/MachineLearningNotebooks
26,mlabouardy,komiser,2.7k,https://github.com//mlabouardy/komiser
27,APIs-guru,openapi-directory,2.6k,https://github.com//APIs-guru/openapi-directory
28,microsoft,SynapseML,2.6k,https://github.com//microsoft/SynapseML
29,smartstore,SmartStoreNET,2.3k,https://github.com//smartstore/SmartStoreNET
