,Username,Repo_name,Stars,Repo_url
0,babel,babel,40k,https://github.com//babel/babel
1,nylas,nylas-mail,24.6k,https://github.com//nylas/nylas-mail
2,kriasoft,react-starter-kit,21k,https://github.com//kriasoft/react-starter-kit
3,avajs,ava,19.4k,https://github.com//avajs/ava
4,electron-react-boilerplate,electron-react-boilerplate,18.6k,https://github.com//electron-react-boilerplate/electron-react-boilerplate
5,swc-project,swc,17.7k,https://github.com//swc-project/swc
6,SimulatedGREG,electron-vue,14.5k,https://github.com//SimulatedGREG/electron-vue
7,grab,front-end-guide,14k,https://github.com//grab/front-end-guide
8,jamiebuilds,babel-handbook,10.5k,https://github.com//jamiebuilds/babel-handbook
9,grommet,grommet,7.6k,https://github.com//grommet/grommet
10,developit,htm,7.3k,https://github.com//developit/htm
11,angular-fullstack,generator-angular-fullstack,6.1k,https://github.com//angular-fullstack/generator-angular-fullstack
12,documentationjs,documentation,5.4k,https://github.com//documentationjs/documentation
13,insin,nwb,5.4k,https://github.com//insin/nwb
14,egoist,poi,5.3k,https://github.com//egoist/poi
15,thinkjs,thinkjs,5.3k,https://github.com//thinkjs/thinkjs
16,ben-rogerson,twin.macro,5k,https://github.com//ben-rogerson/twin.macro
17,babel,babel-loader,4.6k,https://github.com//babel/babel-loader
18,transitive-bullshit,create-react-library,4.5k,https://github.com//transitive-bullshit/create-react-library
19,jaredpalmer,backpack,4.5k,https://github.com//jaredpalmer/backpack
20,duxianwei520,react,4.4k,https://github.com//duxianwei520/react
21,babel,minify,4.3k,https://github.com//babel/minify
22,fkling,astexplorer,4.3k,https://github.com//fkling/astexplorer
23,tleunen,babel-plugin-module-resolver,3.1k,https://github.com//tleunen/babel-plugin-module-resolver
24,andywer,webpack-blocks,3k,https://github.com//andywer/webpack-blocks
25,babel,babel-eslint,3k,https://github.com//babel/babel-eslint
26,kunalkapadia,express-mongoose-es6-rest-api,2.8k,https://github.com//kunalkapadia/express-mongoose-es6-rest-api
27,uidotdev,react-course,2.5k,https://github.com//uidotdev/react-course
28,thx,gogocode,2.4k,https://github.com//thx/gogocode
29,privatenumber,esbuild-loader,2.4k,https://github.com//privatenumber/esbuild-loader
