,Username,Repo_name,Stars,Repo_url
0,jlevy,the-art-of-command-line,98.3k,https://github.com//jlevy/the-art-of-command-line
1,nvm-sh,nvm,53.2k,https://github.com//nvm-sh/nvm
2,junegunn,fzf,40.4k,https://github.com//junegunn/fzf
3,dylanaraps,pure-bash-bible,28k,https://github.com//dylanaraps/pure-bash-bible
4,mathiasbynens,dotfiles,27.1k,https://github.com//mathiasbynens/dotfiles
5,koalaman,shellcheck,26.8k,https://github.com//koalaman/shellcheck
6,LeCoupa,awesome-cheatsheets,25.6k,https://github.com//LeCoupa/awesome-cheatsheets
7,acmesh-official,acme.sh,24.3k,https://github.com//acmesh-official/acme.sh
8,alebcay,awesome-shell,22.5k,https://github.com//alebcay/awesome-shell
9,starship,starship,19.9k,https://github.com//starship/starship
10,jaywcjlove,linux-command,17.2k,https://github.com//jaywcjlove/linux-command
11,Nyr,openvpn-install,14k,https://github.com//Nyr/openvpn-install
12,rbenv,rbenv,13.7k,https://github.com//rbenv/rbenv
13,dylanaraps,neofetch,13.5k,https://github.com//dylanaraps/neofetch
14,powerline,powerline,12.9k,https://github.com//powerline/powerline
15,shelljs,shelljs,12.8k,https://github.com//shelljs/shelljs
16,Bash-it,bash-it,12.6k,https://github.com//Bash-it/bash-it
17,jessfraz,dockerfiles,12.1k,https://github.com//jessfraz/dockerfiles
18,faressoft,terminalizer,12.1k,https://github.com//faressoft/terminalizer
19,denisidoro,navi,9.9k,https://github.com//denisidoro/navi
20,codota,TabNine,8.8k,https://github.com//codota/TabNine
21,rgcr,m-cli,8.6k,https://github.com//rgcr/m-cli
22,alexanderepstein,Bash-Snippets,8.5k,https://github.com//alexanderepstein/Bash-Snippets
23,kanaka,mal,8.2k,https://github.com//kanaka/mal
24,direnv,direnv,8.1k,https://github.com//direnv/direnv
25,skywind3000,awesome-cheatsheets,7.8k,https://github.com//skywind3000/awesome-cheatsheets
26,withfig,autocomplete,7.4k,https://github.com//withfig/autocomplete
27,angristan,openvpn-install,7k,https://github.com//angristan/openvpn-install
28,carlospolop,PEASS-ng,6.9k,https://github.com//carlospolop/PEASS-ng
29,Mayccoll,Gogh,6.4k,https://github.com//Mayccoll/Gogh
