,Username,Repo_name,Stars,Repo_url
0,bitcoin,bitcoin,59.2k,https://github.com//bitcoin/bitcoin
1,ccxt,ccxt,22k,https://github.com//ccxt/ccxt
2,HelloZeroNet,ZeroNet,17.2k,https://github.com//HelloZeroNet/ZeroNet
3,freqtrade,freqtrade,13.3k,https://github.com//freqtrade/freqtrade
4,askmike,gekko,9.8k,https://github.com//askmike/gekko
5,bbfamily,abu,8.5k,https://github.com//bbfamily/abu
6,lbryio,lbry-sdk,7.2k,https://github.com//lbryio/lbry-sdk
7,dvf,blockchain,6.4k,https://github.com//dvf/blockchain
8,yeasy,blockchain_guide,5.8k,https://github.com//yeasy/blockchain_guide
9,solana-labs,solana,5.6k,https://github.com//solana-labs/solana
10,lightningnetwork,lnd,5.5k,https://github.com//lightningnetwork/lnd
11,butor,blackbird,5.4k,https://github.com//butor/blackbird
12,spesmilo,electrum,5.3k,https://github.com//spesmilo/electrum
13,btcsuite,btcd,4.5k,https://github.com//btcsuite/btcd
14,bitcoinjs,bitcoinjs-lib,4.4k,https://github.com//bitcoinjs/bitcoinjs-lib
15,bitcoinj,bitcoinj,4.1k,https://github.com//bitcoinj/bitcoinj
16,bisq-network,bisq,3.8k,https://github.com//bisq-network/bisq
17,michaelgrosner,tribeca,3.6k,https://github.com//michaelgrosner/tribeca
18,CryptoSignal,Crypto-Signal,3.6k,https://github.com//CryptoSignal/Crypto-Signal
19,Scanate,EthList,3.5k,https://github.com//Scanate/EthList
20,RomelTorres,alpha_vantage,3.5k,https://github.com//RomelTorres/alpha_vantage
21,Zheaoli,awesome-coins,3.4k,https://github.com//Zheaoli/awesome-coins
22,coinpride,CryptoList,3.4k,https://github.com//coinpride/CryptoList
23,bitpay,wallet,3.3k,https://github.com//bitpay/wallet
24,jesse-ai,jesse,3.2k,https://github.com//jesse-ai/jesse
25,SqueezerIO,squeezer,3.2k,https://github.com//SqueezerIO/squeezer
26,Jeiwan,blockchain_go,3.1k,https://github.com//Jeiwan/blockchain_go
27,btcpayserver,btcpayserver,3.1k,https://github.com//btcpayserver/btcpayserver
28,cointop-sh,cointop,2.8k,https://github.com//cointop-sh/cointop
29,lbryio,lbrycrd,2.8k,https://github.com//lbryio/lbrycrd
