,Username,Repo_name,Stars,Repo_url
0,ccxt,ccxt,22k,https://github.com//ccxt/ccxt
1,python-telegram-bot,python-telegram-bot,17k,https://github.com//python-telegram-bot/python-telegram-bot
2,discordjs,discord.js,16.2k,https://github.com//discordjs/discord.js
3,hubotio,hubot,16k,https://github.com//hubotio/hubot
4,timgrossmann,InstaPy,13.4k,https://github.com//timgrossmann/InstaPy
5,RasaHQ,rasa,13k,https://github.com//RasaHQ/rasa
6,gunthercox,ChatterBot,11.7k,https://github.com//gunthercox/ChatterBot
7,howdyai,botkit,10.5k,https://github.com//howdyai/botkit
8,botpress,botpress,9.4k,https://github.com//botpress/botpress
9,sfyc23,EverydayWechat,8.6k,https://github.com//sfyc23/EverydayWechat
10,tgbot-collection,YYeTsBot,8.1k,https://github.com//tgbot-collection/YYeTsBot
11,leon-ai,leon,8.1k,https://github.com//leon-ai/leon
12,EZFNDEV,EZFN-Lobbybot,6.9k,https://github.com//EZFNDEV/EZFN-Lobbybot
13,microsoft,ailab,6.8k,https://github.com//microsoft/ailab
14,microsoft,botframework-sdk,6.7k,https://github.com//microsoft/botframework-sdk
15,maxbbraun,trump2cash,6k,https://github.com//maxbbraun/trump2cash
16,yagop,node-telegram-bot-api,5.7k,https://github.com//yagop/node-telegram-bot-api
17,botman,botman,5.5k,https://github.com//botman/botman
18,deepmipt,DeepPavlov,5.5k,https://github.com//deepmipt/DeepPavlov
19,telegraf,telegraf,5.1k,https://github.com//telegraf/telegraf
20,axa-group,nlp.js,4.6k,https://github.com//axa-group/nlp.js
21,jef,streetmerchant,4.6k,https://github.com//jef/streetmerchant
22,ohld,igbot,4.1k,https://github.com//ohld/igbot
23,pedroslopez,whatsapp-web.js,3.9k,https://github.com//pedroslopez/whatsapp-web.js
24,Yoctol,bottender,3.8k,https://github.com//Yoctol/bottender
25,PokemonGoF,PokemonGo-Bot,3.7k,https://github.com//PokemonGoF/PokemonGo-Bot
26,snipsco,snips-nlu,3.6k,https://github.com//snipsco/snips-nlu
27,orkestral,venom,3.4k,https://github.com//orkestral/venom
28,goq,telegram-list,3.3k,https://github.com//goq/telegram-list
29,chrisleekr,binance-trading-bot,3.3k,https://github.com//chrisleekr/binance-trading-bot
