,Username,Repo_name,Stars,Repo_url
0,Genymobile,scrcpy,57.6k,https://github.com//Genymobile/scrcpy
1,neovim,neovim,48.7k,https://github.com//neovim/neovim
2,git,git,40.1k,https://github.com//git/git
3,fffaraz,awesome-cpp,34.7k,https://github.com//fffaraz/awesome-cpp
4,obsproject,obs-studio,33k,https://github.com//obsproject/obs-studio
5,serhii-londar,open-source-mac-os-apps,28.7k,https://github.com//serhii-londar/open-source-mac-os-apps
6,FFmpeg,FFmpeg,26.9k,https://github.com//FFmpeg/FFmpeg
7,vim,vim,25.2k,https://github.com//vim/vim
8,ggreer,the_silver_searcher,22.8k,https://github.com//ggreer/the_silver_searcher
9,curl,curl,22.6k,https://github.com//curl/curl
10,huihut,interview,21.3k,https://github.com//huihut/interview
11,ruby,ruby,18.6k,https://github.com//ruby/ruby
12,google,flatbuffers,17k,https://github.com//google/flatbuffers
13,mpv-player,mpv,16.8k,https://github.com//mpv-player/mpv
14,pbatard,rufus,16.7k,https://github.com//pbatard/rufus
15,oracle,graal,16.2k,https://github.com//oracle/graal
16,radareorg,radare2,15.3k,https://github.com//radareorg/radare2
17,shadowsocks,shadowsocks-libev,14.7k,https://github.com//shadowsocks/shadowsocks-libev
18,microsoft,vcpkg,14.2k,https://github.com//microsoft/vcpkg
19,allinurl,goaccess,14k,https://github.com//allinurl/goaccess
20,vurtun,nuklear,13.3k,https://github.com//vurtun/nuklear
21,jarun,nnn,12.9k,https://github.com//jarun/nnn
22,facebook,infer,12.7k,https://github.com//facebook/infer
23,kovidgoyal,kitty,12.7k,https://github.com//kovidgoyal/kitty
24,CoatiSoftware,Sourcetrail,12.2k,https://github.com//CoatiSoftware/Sourcetrail
25,TheAlgorithms,C,11.5k,https://github.com//TheAlgorithms/C
26,qmk,qmk_firmware,11k,https://github.com//qmk/qmk_firmware
27,s-matyukevich,raspberry-pi-os,10.9k,https://github.com//s-matyukevich/raspberry-pi-os
28,hashcat,hashcat,10.8k,https://github.com//hashcat/hashcat
29,jonas,tig,10.4k,https://github.com//jonas/tig
