,Username,Repo_name,Stars,Repo_url
0,electron,electron,98.9k,https://github.com//electron/electron
1,FiloSottile,mkcert,32.7k,https://github.com//FiloSottile/mkcert
2,microsoft,playwright,30.6k,https://github.com//microsoft/playwright
3,ovity,octotree,21.7k,https://github.com//ovity/octotree
4,iamadamdev,bypass-paywalls-chrome,20.2k,https://github.com//iamadamdev/bypass-paywalls-chrome
5,segmentio,nightmare,19k,https://github.com//segmentio/nightmare
6,jaywcjlove,linux-command,17.2k,https://github.com//jaywcjlove/linux-command
7,checkly,headless-recorder,13.7k,https://github.com//checkly/headless-recorder
8,prisma-archive,chromeless,13.2k,https://github.com//prisma-archive/chromeless
9,google,WebFundamentals,12.3k,https://github.com//google/WebFundamentals
10,casesandberg,react-color,10.2k,https://github.com//casesandberg/react-color
11,GoogleChrome,chrome-extensions-samples,9.1k,https://github.com//GoogleChrome/chrome-extensions-samples
12,crimx,ext-saladict,8.3k,https://github.com//crimx/ext-saladict
13,uBlock-LLC,uBlock,8.1k,https://github.com//uBlock-LLC/uBlock
14,chromedp,chromedp,7k,https://github.com//chromedp/chromedp
15,alvarcarto,url-to-pdf-api,6.5k,https://github.com//alvarcarto/url-to-pdf-api
16,MetaMask,metamask-extension,6.1k,https://github.com//MetaMask/metamask-extension
17,kangvcar,InfoSpider,5.9k,https://github.com//kangvcar/InfoSpider
18,Kenshin,simpread,5.2k,https://github.com//Kenshin/simpread
19,yujiosaka,headless-chrome-crawler,5.1k,https://github.com//yujiosaka/headless-chrome-crawler
20,MontFerret,ferret,4.7k,https://github.com//MontFerret/ferret
21,firefox-devtools,debugger,4.6k,https://github.com//firefox-devtools/debugger
22,themerdev,themer,4.5k,https://github.com//themerdev/themer
23,burtonator,polar-bookshelf,4.4k,https://github.com//burtonator/polar-bookshelf
24,nieweidong,fetool,4.3k,https://github.com//nieweidong/fetool
25,gildas-lormeau,SingleFile,4.3k,https://github.com//gildas-lormeau/SingleFile
26,moonD4rk,HackBrowserData,3.8k,https://github.com//moonD4rk/HackBrowserData
27,brookhong,Surfingkeys,3.8k,https://github.com//brookhong/Surfingkeys
28,bilibili-helper,bilibili-helper-o,3.7k,https://github.com//bilibili-helper/bilibili-helper-o
29,melonjs,melonJS,3.7k,https://github.com//melonjs/melonJS
