,Username,Repo_name,Stars,Repo_url
0,ohmyzsh,ohmyzsh,136k,https://github.com//ohmyzsh/ohmyzsh
1,httpie,httpie,52.8k,https://github.com//httpie/httpie
2,junegunn,fzf,40.4k,https://github.com//junegunn/fzf
3,sharkdp,bat,30.4k,https://github.com//sharkdp/bat
4,wagoodman,dive,28.5k,https://github.com//wagoodman/dive
5,sherlock-project,sherlock,28.2k,https://github.com//sherlock-project/sherlock
6,BurntSushi,ripgrep,28.1k,https://github.com//BurntSushi/ripgrep
7,chubin,cheat.sh,27.6k,https://github.com//chubin/cheat.sh
8,cli,cli,26.3k,https://github.com//cli/cli
9,angular,angular-cli,25k,https://github.com//angular/angular-cli
10,spf13,cobra,24k,https://github.com//spf13/cobra
11,alebcay,awesome-shell,22.5k,https://github.com//alebcay/awesome-shell
12,jesseduffield,lazygit,22k,https://github.com//jesseduffield/lazygit
13,google,python-fire,20.4k,https://github.com//google/python-fire
14,tqdm,tqdm,20.1k,https://github.com//tqdm/tqdm
15,sharkdp,fd,19.5k,https://github.com//sharkdp/fd
16,avajs,ava,19.4k,https://github.com//avajs/ava
17,vercel,pkg,19.2k,https://github.com//vercel/pkg
18,n8n-io,n8n,18.9k,https://github.com//n8n-io/n8n
19,ibraheemdev,modern-unix,17.8k,https://github.com//ibraheemdev/modern-unix
20,chalk,chalk,17.4k,https://github.com//chalk/chalk
21,vadimdemedes,ink,17.2k,https://github.com//vadimdemedes/ink
22,svg,svgo,16.9k,https://github.com//svg/svgo
23,urfave,cli,16.9k,https://github.com//urfave/cli
24,gpakosz,.tmux,15.4k,https://github.com//gpakosz/.tmux
25,allinurl,goaccess,14k,https://github.com//allinurl/goaccess
26,FormidableLabs,webpack-dashboard,13.8k,https://github.com//FormidableLabs/webpack-dashboard
27,infinitered,ignite,13.2k,https://github.com//infinitered/ignite
28,jarun,nnn,12.9k,https://github.com//jarun/nnn
29,pomber,git-history,12.7k,https://github.com//pomber/git-history
