,Username,Repo_name,Stars,Repo_url
0,metabase,metabase,26.5k,https://github.com//metabase/metabase
1,eclipse,deeplearning4j,12.3k,https://github.com//eclipse/deeplearning4j
2,LightTable,LightTable,11.6k,https://github.com//LightTable/LightTable
3,kanaka,mal,8.2k,https://github.com//kanaka/mal
4,lk-geimfari,awesomo,8.1k,https://github.com//lk-geimfari/awesomo
5,logseq,logseq,7.4k,https://github.com//logseq/logseq
6,penpot,penpot,5.3k,https://github.com//penpot/penpot
7,tonsky,datascript,4.4k,https://github.com//tonsky/datascript
8,reagent-project,reagent,4.3k,https://github.com//reagent-project/reagent
9,riemann,riemann,4.1k,https://github.com//riemann/riemann
10,weavejester,compojure,3.9k,https://github.com//weavejester/compojure
11,bbatsov,clojure-style-guide,3.7k,https://github.com//bbatsov/clojure-style-guide
12,izhangzhihao,intellij-rainbow-brackets,3.7k,https://github.com//izhangzhihao/intellij-rainbow-brackets
13,ring-clojure,ring,3.4k,https://github.com//ring-clojure/ring
14,status-im,status-react,3.3k,https://github.com//status-im/status-react
15,clojure-emacs,cider,3.2k,https://github.com//clojure-emacs/cider
16,bhauman,lein-figwheel,2.9k,https://github.com//bhauman/lein-figwheel
17,tallesl,Rich-Hickey-fanclub,2.8k,https://github.com//tallesl/Rich-Hickey-fanclub
18,viebel,klipse,2.8k,https://github.com//viebel/klipse
19,twosigma,beakerx,2.6k,https://github.com//twosigma/beakerx
20,pedestal,pedestal,2.4k,https://github.com//pedestal/pedestal
21,babashka,babashka,2.4k,https://github.com//babashka/babashka
22,clj-commons,aleph,2.4k,https://github.com//clj-commons/aleph
23,weavejester,hiccup,2.3k,https://github.com//weavejester/hiccup
24,razum2um,awesome-clojure,2.3k,https://github.com//razum2um/awesome-clojure
25,http-kit,http-kit,2.2k,https://github.com//http-kit/http-kit
26,onyx-platform,onyx,2k,https://github.com//onyx-platform/onyx
27,defold,defold,1.9k,https://github.com//defold/defold
28,anmonteiro,lumo,1.9k,https://github.com//anmonteiro/lumo
29,boot-clj,boot,1.7k,https://github.com//boot-clj/boot
