,Username,Repo_name,Stars,Repo_url
0,realm,SwiftLint,15.4k,https://github.com//realm/SwiftLint
1,facebook,infer,12.7k,https://github.com//facebook/infer
2,analysis-tools-dev,static-analysis,9.1k,https://github.com//analysis-tools-dev/static-analysis
3,checkstyle,checkstyle,6.5k,https://github.com//checkstyle/checkstyle
4,Kristories,awesome-guidelines,6.3k,https://github.com//Kristories/awesome-guidelines
5,SonarSource,sonarqube,6.3k,https://github.com//SonarSource/sonarqube
6,facebook,pyre-check,5.7k,https://github.com//facebook/pyre-check
7,reviewdog,reviewdog,4.4k,https://github.com//reviewdog/reviewdog
8,simplecov-ruby,simplecov,4.3k,https://github.com//simplecov-ruby/simplecov
9,detekt,detekt,4.1k,https://github.com//detekt/detekt
10,PyCQA,pylint,3.7k,https://github.com//PyCQA/pylint
11,import-js,eslint-plugin-import,3.7k,https://github.com//import-js/eslint-plugin-import
12,phpro,grumphp,3.6k,https://github.com//phpro/grumphp
13,pmd,pmd,3.6k,https://github.com//pmd/pmd
14,htmlhint,HTMLHint,2.7k,https://github.com//htmlhint/HTMLHint
15,kucherenko,jscpd,2.4k,https://github.com//kucherenko/jscpd
16,codeclimate,codeclimate,2.3k,https://github.com//codeclimate/codeclimate
17,trekhleb,state-of-the-art-shitcode,2.1k,https://github.com//trekhleb/state-of-the-art-shitcode
18,uber,piranha,1.8k,https://github.com//uber/piranha
19,wemake-services,wemake-python-styleguide,1.7k,https://github.com//wemake-services/wemake-python-styleguide
20,ehmicky,cross-platform-node-guide,1.2k,https://github.com//ehmicky/cross-platform-node-guide
21,urish,typewiz,1.1k,https://github.com//urish/typewiz
22,Tencent,feflow,1.1k,https://github.com//Tencent/feflow
23,jakzal,phpqa,951,https://github.com//jakzal/phpqa
24,joshuaclayton,unused,876,https://github.com//joshuaclayton/unused
25,imgbot,Imgbot,827,https://github.com//imgbot/Imgbot
26,pdepend,pdepend,773,https://github.com//pdepend/pdepend
27,SonarSource,SonarTS,772,https://github.com//SonarSource/SonarTS
28,SonarSource,SonarJS,764,https://github.com//SonarSource/SonarJS
29,bufferapp,android-guidelines,758,https://github.com//bufferapp/android-guidelines
