,Username,Repo_name,Stars,Repo_url
0,ovity,octotree,21.7k,https://github.com//ovity/octotree
1,gitpod-io,gitpod,5.9k,https://github.com//gitpod-io/gitpod
2,danger,danger,4.7k,https://github.com//danger/danger
3,reviewdog,reviewdog,4.4k,https://github.com//reviewdog/reviewdog
4,danger,danger-js,4k,https://github.com//danger/danger-js
5,joho,awesome-code-review,3.2k,https://github.com//joho/awesome-code-review
6,houndci,hound,1.9k,https://github.com//houndci/hound
7,ajinabraham,nodejsscan,1.9k,https://github.com//ajinabraham/nodejsscan
8,mbj,mutant,1.8k,https://github.com//mbj/mutant
9,microsoft,vscode-pull-request-github,1.8k,https://github.com//microsoft/vscode-pull-request-github
10,crev-dev,cargo-crev,1.5k,https://github.com//crev-dev/cargo-crev
11,reviewboard,reviewboard,1.4k,https://github.com//reviewboard/reviewboard
12,ryanmcdermott,code-review-tips,1k,https://github.com//ryanmcdermott/code-review-tips
13,bit4woo,python_sec,1k,https://github.com//bit4woo/python_sec
14,code-review-checklists,java-concurrency,970,https://github.com//code-review-checklists/java-concurrency
15,jiangsir404,Audit-Learning,815,https://github.com//jiangsir404/Audit-Learning
16,TeamCodeStream,codestream,692,https://github.com//TeamCodeStream/codestream
17,enlightn,enlightn,574,https://github.com//enlightn/enlightn
18,uwolfer,gerrit-intellij-plugin,428,https://github.com//uwolfer/gerrit-intellij-plugin
19,palantir,policy-bot,426,https://github.com//palantir/policy-bot
20,bsamseth,cpp-project,423,https://github.com//bsamseth/cpp-project
21,mookid,diffr,388,https://github.com//mookid/diffr
22,mgreiler,code-review-checklist,343,https://github.com//mgreiler/code-review-checklist
23,sjparkinson,static-review,328,https://github.com//sjparkinson/static-review
24,dpnishant,raptor,324,https://github.com//dpnishant/raptor
25,burrito-brothers,shiba,286,https://github.com//burrito-brothers/shiba
26,charignon,github-review,256,https://github.com//charignon/github-review
27,src-d,lookout,143,https://github.com//src-d/lookout
28,uwolfer,gerrit-rest-java-client,140,https://github.com//uwolfer/gerrit-rest-java-client
29,apoclyps,reviews,133,https://github.com//apoclyps/reviews
