,Username,Repo_name,Stars,Repo_url
0,vercel,next.js,76.8k,https://github.com//vercel/next.js
1,rust-lang,rust,60.5k,https://github.com//rust-lang/rust
2,webpack,webpack,59.8k,https://github.com//webpack/webpack
3,sveltejs,svelte,52.9k,https://github.com//sveltejs/svelte
4,gatsbyjs,gatsby,51.8k,https://github.com//gatsbyjs/gatsby
5,babel,babel,40k,https://github.com//babel/babel
6,parcel-bundler,parcel,39.5k,https://github.com//parcel-bundler/parcel
7,JetBrains,kotlin,39.3k,https://github.com//JetBrains/kotlin
8,evanw,esbuild,28.8k,https://github.com//evanw/esbuild
9,markedjs,marked,26.3k,https://github.com//markedjs/marked
10,vlang,v,25.9k,https://github.com//vlang/v
11,vercel,pkg,19.2k,https://github.com//vercel/pkg
12,v8,v8,18.6k,https://github.com//v8/v8
13,swc-project,swc,17.7k,https://github.com//swc-project/swc
14,AssemblyScript,assemblyscript,13k,https://github.com//AssemblyScript/assemblyscript
15,Konloch,bytecode-viewer,12.5k,https://github.com//Konloch/bytecode-viewer
16,nim-lang,Nim,12.1k,https://github.com//nim-lang/Nim
17,ziglang,zig,11.2k,https://github.com//ziglang/zig
18,gopherjs,gopherjs,10.6k,https://github.com//gopherjs/gopherjs
19,RustPython,RustPython,9.8k,https://github.com//RustPython/RustPython
20,compiler-explorer,compiler-explorer,9.7k,https://github.com//compiler-explorer/compiler-explorer
21,apache,tvm,7.4k,https://github.com//apache/tvm
22,JetBrains,kotlin-native,7.1k,https://github.com//JetBrains/kotlin-native
23,numba,numba,7k,https://github.com//numba/numba
24,elm,compiler,6.7k,https://github.com//elm/compiler
25,aalhour,awesome-compilers,6.3k,https://github.com//aalhour/awesome-compilers
26,Nuitka,Nuitka,6k,https://github.com//Nuitka/Nuitka
27,DoctorWkt,acwj,5.7k,https://github.com//DoctorWkt/acwj
28,rescript-lang,rescript-compiler,5.6k,https://github.com//rescript-lang/rescript-compiler
29,lebab,lebab,5.5k,https://github.com//lebab/lebab
