,Username,Repo_name,Stars,Repo_url
0,localstack,localstack,37k,https://github.com//localstack/localstack
1,harness,drone,24.2k,https://github.com//harness/drone
2,jenkinsci,jenkins,18.1k,https://github.com//jenkinsci/jenkins
3,auchenberg,volkswagen,12k,https://github.com//auchenberg/volkswagen
4,openshift,origin,8k,https://github.com//openshift/origin
5,gocd,gocd,6.3k,https://github.com//gocd/gocd
6,concourse,concourse,6k,https://github.com//concourse/concourse
7,theonedev,onedev,4.8k,https://github.com//theonedev/onedev
8,buildbot,buildbot,4.7k,https://github.com//buildbot/buildbot
9,Strider-CD,strider,4.5k,https://github.com//Strider-CD/strider
10,gaia-pipeline,gaia,4.5k,https://github.com//gaia-pipeline/gaia
11,jenkins-x,jx,4k,https://github.com//jenkins-x/jx
12,hygieia,hygieia,3.7k,https://github.com//hygieia/hygieia
13,xcpretty,xcpretty,3.7k,https://github.com//xcpretty/xcpretty
14,ovh,cds,3.6k,https://github.com//ovh/cds
15,cake-build,cake,3.1k,https://github.com//cake-build/cake
16,iterative,cml,2.8k,https://github.com//iterative/cml
17,werf,werf,2.8k,https://github.com//werf/werf
18,ligurio,awesome-ci,2.7k,https://github.com//ligurio/awesome-ci
19,tox-dev,tox,2.5k,https://github.com//tox-dev/tox
20,dancryer,PHPCI,2.4k,https://github.com//dancryer/PHPCI
21,TheLartians,ModernCppStarter,2.3k,https://github.com//TheLartians/ModernCppStarter
22,dreamans,syncd,2k,https://github.com//dreamans/syncd
23,houndci,hound,1.9k,https://github.com//houndci/hound
24,shivammathur,setup-php,1.9k,https://github.com//shivammathur/setup-php
25,fabric8io,fabric8,1.8k,https://github.com//fabric8io/fabric8
26,lastbackend,lastbackend,1.5k,https://github.com//lastbackend/lastbackend
27,nuke-build,nuke,1.3k,https://github.com//nuke-build/nuke
28,FlowCI,flow-core-x,1.3k,https://github.com//FlowCI/flow-core-x
29,k1LoW,tbls,1.2k,https://github.com//k1LoW/tbls
