,Username,Repo_name,Stars,Repo_url
0,CSSEGISandData,COVID-19,27.8k,https://github.com//CSSEGISandData/COVID-19
1,covid19india,covid19india-react,6.8k,https://github.com//covid19india/covid19india-react
2,nytimes,covid-19-data,6.6k,https://github.com//nytimes/covid-19-data
3,tokyo-metropolitan-gov,covid19,6.3k,https://github.com//tokyo-metropolitan-gov/covid19
4,owid,covid-19-data,4.6k,https://github.com//owid/covid-19-data
5,pcm-dpc,COVID-19,3.9k,https://github.com//pcm-dpc/COVID-19
6,ieee8023,covid-chestxray-dataset,2.7k,https://github.com//ieee8023/covid-chestxray-dataset
7,disease-sh,API,2.3k,https://github.com//disease-sh/API
8,geohot,corona,2.1k,https://github.com//geohot/corona
9,WorldHealthOrganization,app,2.1k,https://github.com//WorldHealthOrganization/app
10,ahmadawais,corona-cli,1.8k,https://github.com//ahmadawais/corona-cli
11,corona-warn-app,cwa-server,1.8k,https://github.com//corona-warn-app/cwa-server
12,ExpDev07,coronavirus-tracker-api,1.6k,https://github.com//ExpDev07/coronavirus-tracker-api
13,soroushchehresa,awesome-coronavirus,1.5k,https://github.com//soroushchehresa/awesome-coronavirus
14,mhdhejazi,CoronaTracker,1.4k,https://github.com//mhdhejazi/CoronaTracker
15,github,covid19-dashboard,1.4k,https://github.com//github/covid19-dashboard
16,neherlab,covid19_scenarios,1.4k,https://github.com//neherlab/covid19_scenarios
17,pomber,covid19,1.2k,https://github.com//pomber/covid19
18,covidpass-org,covidpass,1.1k,https://github.com//covidpass-org/covidpass
19,datasets,covid-19,1.1k,https://github.com//datasets/covid-19
20,FoldingAtHome,coronavirus,1.1k,https://github.com//FoldingAtHome/coronavirus
21,chrismattmann,tika-python,1.1k,https://github.com//chrismattmann/tika-python
22,chandrikadeb7,Face-Mask-Detection,1.1k,https://github.com//chandrikadeb7/Face-Mask-Detection
23,lindawangg,COVID-Net,1.1k,https://github.com//lindawangg/COVID-Net
24,cyberman54,ESP32-Paxcounter,941,https://github.com//cyberman54/ESP32-Paxcounter
25,ImperialCollegeLondon,covid19model,931,https://github.com//ImperialCollegeLondon/covid19model
26,UCSD-AI4H,COVID-CT,897,https://github.com//UCSD-AI4H/COVID-CT
27,nychealth,coronavirus-data,866,https://github.com//nychealth/coronavirus-data
28,MoH-Malaysia,covid19-public,861,https://github.com//MoH-Malaysia/covid19-public
29,makers-for-life,makair,753,https://github.com//makers-for-life/makair
