,Username,Repo_name,Stars,Repo_url
0,CyC2018,CS-Notes,142k,https://github.com//CyC2018/CS-Notes
1,practical-tutorials,project-based-learning,59.2k,https://github.com//practical-tutorials/project-based-learning
2,azl397985856,leetcode,45.2k,https://github.com//azl397985856/leetcode
3,x64dbg,x64dbg,37.7k,https://github.com//x64dbg/x64dbg
4,fffaraz,awesome-cpp,34.7k,https://github.com//fffaraz/awesome-cpp
5,microsoft,calculator,23.1k,https://github.com//microsoft/calculator
6,CMU-Perceptual-Computing-Lab,openpose,22.6k,https://github.com//CMU-Perceptual-Computing-Lab/openpose
7,huihut,interview,21.3k,https://github.com//huihut/interview
8,youngyangyang04,leetcode-master,18.4k,https://github.com//youngyangyang04/leetcode-master
9,yuzu-emu,yuzu,17k,https://github.com//yuzu-emu/yuzu
10,TheAlgorithms,C-Plus-Plus,16.8k,https://github.com//TheAlgorithms/C-Plus-Plus
11,changkun,modern-cpp-tutorial,15.6k,https://github.com//changkun/modern-cpp-tutorial
12,catchorg,Catch2,14.2k,https://github.com//catchorg/Catch2
13,microsoft,vcpkg,14.2k,https://github.com//microsoft/vcpkg
14,ethereum,solidity,13.1k,https://github.com//ethereum/solidity
15,gabime,spdlog,13.1k,https://github.com//gabime/spdlog
16,AnthonyCalandra,modern-cpp-features,13k,https://github.com//AnthonyCalandra/modern-cpp-features
17,Qv2ray,Qv2ray,12.7k,https://github.com//Qv2ray/Qv2ray
18,facebook,infer,12.7k,https://github.com//facebook/infer
19,CoatiSoftware,Sourcetrail,12.2k,https://github.com//CoatiSoftware/Sourcetrail
20,google,tink,11.8k,https://github.com//google/tink
21,ssloy,tinyrenderer,11.6k,https://github.com//ssloy/tinyrenderer
22,antlr,antlr4,11k,https://github.com//antlr/antlr4
23,SFTtech,openage,10.7k,https://github.com//SFTtech/openage
24,kyleneideck,BackgroundMusic,10.5k,https://github.com//kyleneideck/BackgroundMusic
25,OpenRCT2,OpenRCT2,10k,https://github.com//OpenRCT2/OpenRCT2
26,compiler-explorer,compiler-explorer,9.7k,https://github.com//compiler-explorer/compiler-explorer
27,hmemcpy,milewski-ctfp-pdf,9k,https://github.com//hmemcpy/milewski-ctfp-pdf
28,Ciphey,Ciphey,8.9k,https://github.com//Ciphey/Ciphey
29,codota,TabNine,8.8k,https://github.com//codota/TabNine
